"style","artist","country","city","artist_bio","artist_genre","artist_profile_hint","scene_role","source_anchor","source_anchor_url","primary_social_url","social_discovery_links","label_links","cover_art_url","profile_tracks","status","confidence","source_note"
"chicago_house","Hiroko Yamamura","United States","Chicago","Hiroko Yamamura entra no radar do Klubnacht 04/07/2026 pelo recorte Chicago house/techno do line-up: jacking Chicago house, acid e techno com leitura de pista.","Chicago House / Techno","Recomendar Hiroko Yamamura quando o usuario pedir Chicago house, acid e techno com leitura de DJ.","klubnacht_20260704_berghain_dj","Klubnacht 04.07.2026 / Berghain","https://ra.co/dj/hirokoyamamura","https://ra.co/dj/hirokoyamamura","https://www.youtube.com/results?search_query=Hiroko%20Yamamura%20DJ%20set;https://soundcloud.com/search?q=Hiroko%20Yamamura%20DJ%20set","https://ra.co/events?search=Klubnacht%20Hiroko%20Yamamura","","Klubnacht 04.07.2026 Berghain 23:59","published","high","User-requested lineup import from supplied Instagram image. RA profile confirms the Klubnacht listing and artist context; floor/time from image."
"hypnotic_techno","Ignez","Netherlands","Berlin","Ignez entra como LIVE do Klubnacht 04/07/2026 no line-up, ligado a Somov Records e ao eixo hypnotic techno/deep techno.","Hypnotic Techno / Deep Techno / Live","Recomendar Ignez quando o usuario pedir live act de techno hipnotico, profundo e minimal com assinatura Somov.","klubnacht_20260704_berghain_live","Klubnacht 04.07.2026 / Berghain LIVE","https://ra.co/dj/ignez","https://ra.co/dj/ignez","https://www.youtube.com/results?search_query=Ignez%20Somov%20live%20set;https://soundcloud.com/search?q=Ignez%20Somov%20live","https://www.somovrecords.com;https://somovrecords.bandcamp.com/music","","Klubnacht 04.07.2026 Berghain 04:00 LIVE; Somov","published","high","User-requested lineup import from supplied Instagram image. RA and existing Somov/Ignez catalog rows support the artist; image marks this slot as LIVE."
"techno","Kyle Geiger","United States","Berlin","Kyle Geiger entra no radar do Klubnacht 04/07/2026 pelo recorte techno do line-up: techno direto, americano/europeu, com pressao de clube.","Techno","Recomendar Kyle Geiger para techno de pista com pressao funcional e contexto Geiger Counter.","klubnacht_20260704_berghain_dj","Klubnacht 04.07.2026 / Berghain","https://ra.co/dj/kylegeiger","https://ra.co/dj/kylegeiger","https://www.youtube.com/results?search_query=Kyle%20Geiger%20DJ%20set;https://soundcloud.com/search?q=Kyle%20Geiger%20DJ%20set","https://kylegeiger.com;https://kylegeiger.bandcamp.com","","Klubnacht 04.07.2026 Berghain 05:00; Geiger Counter","published","high","User-requested lineup import from supplied Instagram image. RA profile confirms artist and Klubnacht listing; floor/time from image."
"techno","Mari Sakurai","Japan","","Mari Sakurai entra no radar do Klubnacht 04/07/2026 pelo recorte techno do line-up: techno japones com selecao precisa para pista longa.","Techno","Recomendar Mari Sakurai quando o usuario pedir techno japones e selecao precisa de club set.","klubnacht_20260704_berghain_dj","Klubnacht 04.07.2026 / Berghain","https://ra.co/dj/marisakurai","https://ra.co/dj/marisakurai","https://www.youtube.com/results?search_query=Mari%20Sakurai%20DJ%20set;https://soundcloud.com/search?q=Mari%20Sakurai%20DJ%20set","https://onboardmusic.net","","Klubnacht 04.07.2026 Berghain 09:00","published","high","User-requested lineup import from supplied Instagram image. RA profile confirms artist context; floor/time from image."
"hypnotic_techno","Aöcram","International","","Aöcram entra no radar do Klubnacht 04/07/2026 pelo recorte hypnotic techno/Mord do line-up: techno hipnotico, profundo e austero.","Hypnotic Techno / Techno","Recomendar Aöcram para techno hipnotico, especialmente quando o usuario pedir Mord, Semantica ou textura mental.","klubnacht_20260704_berghain_dj","Klubnacht 04.07.2026 / Berghain","https://ra.co/dj/aocram","https://ra.co/dj/aocram","https://www.youtube.com/results?search_query=A%C3%B6cram%20DJ%20set;https://soundcloud.com/search?q=A%C3%B6cram%20DJ%20set","https://aocram.bandcamp.com;https://ra.co/labels/15107","","Klubnacht 04.07.2026 Berghain 13:00; Mord","published","high","User-requested lineup import from supplied Instagram image. RA profile confirms Aöcram and lists the Klubnacht; image ties the slot to Mord."
"techno","Temudo","Portugal","Lisbon","Temudo aparece no Klubnacht 04/07/2026 e reforca o eixo de techno funcional, moderno e label-led dentro do Sonic Search.","Techno","Recomendar Temudo para techno de pista com pressao contemporanea, Soma/Klockworks/Modularz/Mord e DNA portugues.","klubnacht_20260704_berghain_dj","Klubnacht 04.07.2026 / Berghain","https://ra.co/dj/temudo","https://ra.co/dj/temudo","https://www.youtube.com/results?search_query=Temudo%20DJ%20set;https://soundcloud.com/search?q=Temudo%20DJ%20set","https://ra.co/labels/206;https://ra.co/labels/6352;https://ra.co/labels/15107","","Klubnacht 04.07.2026 Berghain 17:00","published","high","User-requested lineup import from supplied Instagram image. Temudo already existed as a techno seed; this row adds the Berghain lineup signal."
"techno","Juri Heidemann","Germany","Berlin","Juri Heidemann entra no radar do Klubnacht 04/07/2026 pelo recorte Chicago house/techno do line-up: DJ/produtor berlinense para techno atual de clube.","Techno","Recomendar Juri Heidemann quando o usuario quiser descoberta de DJ/produtor de Berlin com ligacao Berghain.","klubnacht_20260704_berghain_dj","Klubnacht 04.07.2026 / Berghain","https://ra.co/dj/juriheidemann","https://ra.co/dj/juriheidemann","https://www.youtube.com/results?search_query=Juri%20Heidemann%20DJ%20set;https://soundcloud.com/search?q=Juri%20Heidemann%20DJ%20set","https://ra.co/labels/2567","","Klubnacht 04.07.2026 Berghain 21:00","published","high","User-requested lineup import from supplied Instagram image. RA profile confirms Berlin context and Klubnacht listing; floor/time from image."
"hardgroove_techno","Philippa Pacho","Sweden / Germany","Berlin","Philippa Pacho entra no radar do Klubnacht 04/07/2026 como fechamento/virada de techno no line-up: techno, hardgroove e pressao moderna.","Techno / Hardgroove Techno","Recomendar Philippa Pacho quando o usuario pedir techno contemporaneo, hardgroove e pista longa.","klubnacht_20260704_berghain_dj","Klubnacht 04.07.2026 / Berghain","https://ra.co/dj/philippapacho","https://ra.co/dj/philippapacho","https://www.youtube.com/results?search_query=Philippa%20Pacho%20DJ%20set;https://soundcloud.com/search?q=Philippa%20Pacho%20DJ%20set","https://positivesource.bandcamp.com","","Klubnacht 04.07.2026 Berghain 01:00","published","high","User-requested lineup import from supplied Instagram image. Philippa Pacho already existed from HIVE data; this row adds the Berghain floor/time signal."
"house","Biesmans","Belgium / Germany","Berlin","Biesmans entra no radar do Klubnacht 04/07/2026 pelo recorte house do line-up: house analogico, groove emocional e contexto Running Back.","House / Analog Groove","Recomendar Biesmans quando o usuario pedir house melodico, synths analogicos e energia Running Back.","klubnacht_20260704_panorama_dj","Klubnacht 04.07.2026 / Panorama Bar","https://soundcloud.com/biesmans","https://soundcloud.com/biesmans","https://www.youtube.com/results?search_query=Biesmans%20DJ%20set;https://soundcloud.com/search?q=Biesmans%20DJ%20set","https://runningbackrecords.bandcamp.com;https://www.runningbackrecords.com","","Klubnacht 04.07.2026 Panorama Bar 23:59; Running Back","published","high","User-requested lineup import from supplied Instagram image. RA lineup confirms Biesmans at Klubnacht; SoundCloud profile supplies artist context and Running Back signal."
"house","Moxie","United Kingdom","London","Moxie entra no radar do Klubnacht 04/07/2026 pelo recorte house/UK club do line-up: selector de house, UK club e curadoria On Loop.","House / UK Club / Selector","Recomendar Moxie para house, UK club e selectors com curadoria radio/label On Loop.","klubnacht_20260704_panorama_dj","Klubnacht 04.07.2026 / Panorama Bar","https://ra.co/dj/moxie","https://ra.co/dj/moxie","https://www.youtube.com/results?search_query=Moxie%20DJ%20set;https://soundcloud.com/search?q=Moxie%20DJ%20set","https://onloop.bandcamp.com","","Klubnacht 04.07.2026 Panorama Bar 04:00; On Loop","published","high","User-requested lineup import from supplied Instagram image. RA profile confirms Moxie; image ties the slot to On Loop."
"minimal_deep_tech","Liquid Earth","United States / Spain","Barcelona","Liquid Earth entra no radar do Klubnacht 04/07/2026 pelo recorte minimal/microhouse do line-up: microhouse, tech house quebrado e groove elastico.","Microhouse / Minimal Deep Tech / Tech House","Recomendar Liquid Earth para microhouse e minimal deep tech com swing clubby.","klubnacht_20260704_panorama_dj","Klubnacht 04.07.2026 / Panorama Bar","https://ra.co/dj/liquidearth","https://ra.co/dj/liquidearth","https://www.youtube.com/results?search_query=Liquid%20Earth%20DJ%20set;https://soundcloud.com/search?q=Liquid%20Earth%20DJ%20set","https://liquid-earth.bandcamp.com","","Klubnacht 04.07.2026 Panorama Bar 08:00","published","high","User-requested lineup import from supplied Instagram image. RA profile confirms artist context and Klubnacht listing; floor/time from image."
"tech_house","D'Julz","France","Paris","D'Julz entra no radar do Klubnacht 04/07/2026 pelo recorte tech house do line-up: DJ's DJ, house/tech house e contexto Bass Culture.","Tech House / House / Minimal","Recomendar D'Julz para Bass Culture e selectors de house/tech house com repertorio profundo.","klubnacht_20260704_panorama_dj","Klubnacht 04.07.2026 / Panorama Bar","https://ra.co/dj/djulz","https://ra.co/dj/djulz","https://www.youtube.com/results?search_query=D%27Julz%20DJ%20set;https://soundcloud.com/search?q=D%27Julz%20DJ%20set","https://www.bassculturerecords.com;https://ra.co/labels/3173","","Klubnacht 04.07.2026 Panorama Bar 19:30; Bass Culture","published","high","User-requested lineup import from supplied Instagram image. RA profile confirms D'Julz and Bass Culture context; floor/time from image."
"minimal_deep_tech","Alexander Skancke","Norway / Germany","Berlin","Alexander Skancke entra no radar do Klubnacht 04/07/2026 pelo recorte minimal/deep tech do line-up em B2B com Henriku: house/minimal, groove e contexto Quirk/Howdy.","Minimal House / Deep Tech","Recomendar Alexander Skancke para B2B, minimal house e deep tech com pegada Berlin/Oslo.","klubnacht_20260704_panorama_b2b","Klubnacht 04.07.2026 / Panorama Bar B2B","https://ra.co/dj/alexanderskancke","https://ra.co/dj/alexanderskancke","https://www.youtube.com/results?search_query=Alexander%20Skancke%20Henriku%20B2B%20DJ%20set;https://soundcloud.com/search?q=Alexander%20Skancke%20Henriku%20B2B","https://alexanderskancke.bandcamp.com;https://ra.co/labels/4028","","Klubnacht 04.07.2026 Panorama Bar 00:00; Alexander Skancke B2B Henriku; Quirk; Howdy","published","high","User-requested lineup import from supplied Instagram image. RA profile confirms Alexander Skancke in the Klubnacht listing; image marks the B2B with Henriku."
"minimal_deep_tech","Henriku","Norway / Germany","Berlin","Henriku entra no radar do Klubnacht 04/07/2026 pelo recorte minimal/deep tech do line-up em B2B com Alexander Skancke: house/minimal, Quirk e narrativa 90s.","Minimal House / Deep Tech / DJ","Recomendar Henriku para Panorama Bar, B2B e minimal/deep-tech de pesquisa com contexto Quirk.","klubnacht_20260704_panorama_b2b","Klubnacht 04.07.2026 / Panorama Bar B2B","https://ra.co/dj/henriku","https://ra.co/dj/henriku","https://www.youtube.com/results?search_query=Henriku%20Alexander%20Skancke%20B2B%20DJ%20set;https://soundcloud.com/search?q=Henriku%20Alexander%20Skancke%20B2B","https://ra.co/labels/4028","","Klubnacht 04.07.2026 Panorama Bar 00:00; Alexander Skancke B2B Henriku; Quirk; Howdy","published","high","User-requested lineup import from supplied Instagram image. RA profile confirms Henriku in the Klubnacht listing; image marks the B2B with Alexander Skancke."
"house","Sedef Adasï","Turkey / Germany","","Sedef Adasï entra no radar do Klubnacht 04/07/2026 pelo recorte house/acid/electro do line-up: house, acid, electro e selecao aberta de dia.","House / Acid / Electro / Garden Selector","Recomendar Sedef Adasï para Public Possession e selectors de house/electro com energia solar e nao obvia.","klubnacht_20260704_garten_dj","Klubnacht 04.07.2026 / Garten","https://ra.co/dj/sedefadasi","https://ra.co/dj/sedefadasi","https://www.youtube.com/results?search_query=Sedef%20Adas%C3%AF%20DJ%20set;https://soundcloud.com/search?q=Sedef%20Adas%C3%AF%20DJ%20set","https://sedefadasi.bandcamp.com;https://publicpossession.com","","Klubnacht 04.07.2026 Garten 12:00; Public Possession","published","high","User-requested lineup import from supplied Instagram image. RA profile confirms Sedef Adasï; image places the slot in Garten/Public Possession."
"italo_disco","Bell Towers","Australia / Germany","Berlin","Bell Towers entra no radar do Klubnacht 04/07/2026 pelo recorte disco/italo/Public Possession do line-up: disco, italo, house colorido e groove de dia.","Italo Disco / Disco House / House","Recomendar Bell Towers para Public Possession, italo/disco-house e clima aberto de tarde.","klubnacht_20260704_garten_dj","Klubnacht 04.07.2026 / Garten","https://ra.co/dj/belltowers","https://ra.co/dj/belltowers","https://www.youtube.com/results?search_query=Bell%20Towers%20DJ%20set;https://soundcloud.com/search?q=Bell%20Towers%20DJ%20set","https://publicpossession.com;https://ra.co/labels/7245","","Klubnacht 04.07.2026 Garten 16:00; Public Possession","published","high","User-requested lineup import from supplied Instagram image. RA profile confirms Bell Towers and Public Possession context; image places the slot in Garten/Public Possession."
