"style","artist","country","city","artist_bio","artist_genre","artist_profile_hint","source","source_url","status","confidence","scene_role","aliases","source_note","social_discovery_links","label_links","profile_tracks"
"forest_psy","Umber Vamber","Russia","Moscow","Umber Vamber e um projeto de Moscou iniciado em 2012, com som psicodelico profundo, atmosferico e groovado em territorio dark forest.","dark forest psytrance / forest psytrance","Usar Umber Vamber para forest/dark forest: faixas publicadas entre 154 e 165 BPM, sem classificar como hi-tech.","cosmic_crew_2026_research","https://umbervamber1.bandcamp.com/track/umbervamber-alcohbata-thundering-smoke-160bpm-katayy-records-brazil","published","high","producer_with_verified_tracks","Artem Umber Vamber Leontev","Bandcamp do artista lista discografia extensa e descreve o projeto como hybrid dark trance com forest/cosmic tunes.","https://umbervamber1.bandcamp.com/","https://soundofnaturerecords.bandcamp.com/","Seeker;Thundering Smoke;Dark Times"
"forest_psy","Umber Sonus","Russia","Moscow","Umber Sonus aparece no catalogo do eixo Umber Vamber com faixas dark forest publicadas por Catar, Pralayah, Psionix e outros selos.","dark forest psytrance / forest psytrance","Usar como forest/dark forest de alta energia; nao tratar como hitech apesar de algumas faixas acima de 160 BPM.","cosmic_crew_2026_research","https://www.beatport.com/track/the-web-of-meaning/18351731","published","high","producer_with_verified_tracks","","Beatport classifica The Web of Meaning como Psy-Trance / Dark & Forest, 163 BPM.","https://umbervamber1.bandcamp.com/","","The Web of Meaning;Bipolar Inversion;El Kysh"
"dark_psy","Phagos Sonus","Russia","Moscow","Phagos Sonus e o projeto do produtor Alex Zharov, com album Theatre of the Dust em Lycantrop Records e faixa de BPM dark/forest.","darkpsy / forest psytrance","Usar Phagos Sonus para darkpsy/forest narrativo, nao para hitech.","cosmic_crew_2026_research","https://lycantroprecords.bandcamp.com/album/phagos-sonus-theatre-of-the-dust-album-lyccd007-2014","published","high","producer_with_verified_tracks","","Album Bandcamp lista faixas entre 150 e 170 BPM e projeto de produtor baseado em Moscou.","https://phagossonus.bandcamp.com/","","Invitation to a Beheading;TAnay;Phantom of the Opera (Ghost Project)"
"dark_psy","Ipotocaticac","France","Paris","Ipotocaticac e o projeto psytrance de Remo, de Paris, publicado pela Atomes Music com repertorio darkpsy, forestpsy e psygressive.","darkpsy / forestpsy / psygressive","Entrada corrigida do flyer: Ipotocaticac. Classificar como darkpsy/forest/psygressive, nao como hitech.","cosmic_crew_2026_research","https://atomesmusic.bandcamp.com/album/the-mirror-of-the-world","published","high","producer_with_verified_tracks","Ipotocattica; Ipotocatticac; Ipotocaticac","Atomes Music descreve o projeto e inclui tags darkpsy, ethno, forestpsy, psychedelic, psygressive e psytrance.","https://atomesmusic.bandcamp.com/album/people-from-somewhere","","The Mirror of the World;Enchanted Ride;Mescalito"
"hi_tech","Paralocks","South Africa","Cape Town","Paralocks migrou do eixo dark sul-africano para velocidades mais altas, glitches high-tech e soundscapes dinamicos.","hi-tech psytrance / psycore-adjacent","Usar Paralocks como hi-tech principal; algumas faixas tambem aparecem em psycore, mas nao marcar como dark generico.","cosmic_crew_2026_research","https://beatspace-mittaimusic.bandcamp.com/album/full-acceptance","published","high","producer_with_verified_tracks","Paralocks Retro","Full Acceptance informa a mudanca para higher speeds e high-tech glitches.","https://mittaimusic.com/releases","https://beatspace-mittaimusic.bandcamp.com/","Full Acceptance;Realm - 195 bpm;We Will Prevail"
"freeform","Salakavala","Finland","","Salakavala e um duo finlandes de Suomitrance/freeform, com albums Magic Carpet e Unusual Conditions pela Hippie Killer Productions.","freeform psytrance / suomisaundi","Usar Salakavala para freeform/suomisaundi; separar de darkpsy e hitech.","cosmic_crew_2026_research","https://www.salakavala.net/discography/","published","high","producer_with_verified_tracks","","Discografia oficial descreve Salakavala como Finnish trance madness masters e Magic Carpet como Suomitrance.","https://hippiekillerproductions.bandcamp.com/album/magic-carpet","","Catronaut;No Glue;Salalalaa"
"freeform","Igor Swamp","Finland","Hamburg","Igor Swamp e o projeto de Toni Sorsa, associado ao laboratorio Positive Dark e a discos suomisaundi pela Hippie Killer Productions/NULLZONE.","freeform psytrance / suomisaundi","Usar Igor Swamp em freeform/suomisaundi psicodelico, nao como darkpsy puro.","cosmic_crew_2026_research","https://www.igorswamp.net/discography/","published","high","producer_with_verified_tracks","","Discografia oficial lista Hypha Hypha, Akrabadabra e outros albuns, com creditos de producao.","https://hippiekillerproductions.bandcamp.com/","","Lusty District;Hidden Hypha;Over the Fences"
"freeform","Gaida","Finland","","Gaida e o duo finlandes de Tommy Lauhiala (Salakavala) e Iida Saarinen, misturando Goa trance, Suomisaundi e Forest psy.","suomisaundi / freeform / forest psy","Usar Gaida como freeform/suomisaundi com ponte para forest, nao como dark ou hitech.","cosmic_crew_2026_research","https://nullzone2007.bandcamp.com/album/guidance","published","high","producer_with_verified_tracks","","NULLZONE descreve o duo e a mistura de Goa trance, Suomisaundi e Forest psy.","https://www.artistcamp.com/gaida/guidance/9008798679522/index.html","https://nullzone2007.bandcamp.com/","Black Box;Yazzy"
"forest_psy","Dylalien","United States","","Dylalien tem album B. Whalian pela Moon Koradji, descrito como uma exploracao de psytrance, forest e darkpsy.","forest psytrance / darkpsy","Usar Dylalien no recorte forest/darkpsy do album B. Whalian; nao confundir com trabalhos de techno experimental.","cosmic_crew_2026_research","https://www.moonkoradji.com/artists/dylalien","published","high","producer_with_verified_tracks","","Moon Koradji lista B. Whalian como release de Dylalien; divulgacao fala em psytrance, forest e darkpsy.","https://moonkoradjirecords.bandcamp.com/","https://www.moonkoradji.com/","Don't Shake Your Teeth at the DJ;Portal Party Mix 5000;Bassiachi"
"dark_psy","Alcohbata","Brazil","","Alcohbata e projeto brasileiro de psytrance com album Welcome To This World pela Katayy Records e colaboracoes dark forest.","psytrance / darkpsy / forest-adjacent","Entrada corrigida do flyer: Alcohbata. Usar como psytrance/dark forest-adjacent, sem marcar como hitech.","cosmic_crew_2026_research","https://katayyrecords.bandcamp.com/album/alcohbata-welcome-to-this-world","published","high","producer_with_verified_tracks","Alcohibata; Alcohbata BR","Katayy Records publica o album do projeto; a colaboracao com Umber Vamber aparece com tags dark psy/forest.","https://www.katayyrecords.com.br/fr/musicas/","https://katayyrecords.bandcamp.com/","Pure Love;Youtab Ariobarzan;Morning Ritual"
"forest_psy","Traxon","Brazil","","Traxon e projeto brasileiro de forest psytrance, com Taxi Pilot em V.A Brazilian Shamans e outras faixas em compilacoes de forest/dark.","forest psytrance / dark forest","Usar Traxon para forest psytrance brasileiro; nao classificar como hitech.","cosmic_crew_2026_research","https://woodogrecordingsofficial.bandcamp.com/album/v-a-brazilian-shamans-compiled-by-tiago-pires","published","high","producer_with_verified_tracks","","Brazilian Shamans lista Traxon - Taxi Pilot; Viberate tambem categoriza como Forest Psytrance.","https://www.viberate.com/artist/traxon/","","Taxi Pilot;Boomreasca (148);Deep"
"dark_progressive","Minimal Criminal","Brazil","","Minimal Criminal e projeto brasileiro ligado ao dark progressive/Zenon, com faixas como The Architect, Alice in Acidland e Silver Exeloume.","dark progressive psytrance / zenonesque","Usar Minimal Criminal em dark progressive/zenonesque; nao misturar com darkpsy, forest ou hitech.","cosmic_crew_2026_research","https://www.deezer.com/track/359241241","published","high","producer_with_verified_tracks","","The Architect aparece em Two; catalogos de progressive dark/Zenon ja existem no app.","https://www.beatport.com/search?q=Minimal%20Criminal%20The%20Architect","","The Architect;Alice in Acidland;Colonization -140-"
"freeform","At Work","Brazil","Sao Paulo","At Work e o projeto de Guilherme Araujo, produtor brasileiro de freeform psytrance/suomisaundi com EP Intrusive Thoughts pela Random Records.","freeform psytrance / suomisaundi / west-psy","Incluir At Work como produtor live/freeform; separar de Mielikki, que apareceu como DJ no lineup.","cosmic_crew_2026_research","https://randomrecords.bandcamp.com/album/intrusive-thoughts","published","high","producer_with_verified_tracks","AT Work; atworkdj","Random Records lista Intrusive Thoughts como EP by At Work, escrito e produzido por Guilherme Araujo.","https://tokisounds.bandcamp.com/album/biomas-compiled-by-at-work","https://randomrecords.bandcamp.com/","Intrusive Thoughts;Compulsive Patterns;Leilao de Gado"
"dark_experimental","IndacoRuna","Italy","","IndacoRuna e projeto italiano de psytrance experimental, com faixas em Popol-Vuh, Madmuzik e releases recentes como Sabbat.","dark experimental psytrance / psycore","Usar IndacoRuna para dark experimental; faixas acima de 180 BPM podem entrar em psycore, mas nao em hitech.","cosmic_crew_2026_research","https://popol-vuh.bandcamp.com/album/v-a-xa-xa-namaxitacor-compiled-by-mita","published","high","producer_with_verified_tracks","Indacoruna; Indaco Runa","Popol-Vuh/Madmuzik e Deezer confirmam Propolisergica, Something Different e Sabbat.","https://madmuzik.bandcamp.com/album/va-the-hyperspace-madmuzik-2023-karacus-marakus-goa-22","","Propolisergica (Original Mix);Something Different;Mabon"
"psycore","RadiRuna","Italy","","RadiRuna e colaboracao Radice x IndacoRuna com faixas publicadas por Popol Vuh/Madmuzik em velocidades de 185 a 197 BPM.","psycore / dark experimental psytrance","Usar RadiRuna em psycore/dark experimental, nao em hitech.","cosmic_crew_2026_research","https://radice.bandcamp.com/track/radiruna-fragment-of-extinction","published","high","producer_with_verified_tracks","Radiruna; Radice x IndacoRuna","Fragment of Extinction tem fonte Bandcamp/Popol-Vuh; Pura Nasha aparece no VA The Hyperspace a 186 BPM.","https://madmuzik.bandcamp.com/album/va-the-hyperspace-madmuzik-2023-karacus-marakus-goa-22","","Pura Nasha;Fragment of Extinction;Scaccia Pensieri"
"slambient","Radice","Italy","","Radice e projeto ligado a The Endless Knot, Post Modern Music e Labyrinthine Crew, com faixas slambient, experimentais e psycore.","slambient / experimental psycore / darkpsy","Usar Radice como slambient/experimental; faixas como Primordial Level tambem servem como ponte psycore.","cosmic_crew_2026_research","https://radice.bandcamp.com/track/radice-primordial-level","published","high","producer_with_verified_tracks","","Bandcamp de Radice lista 36 releases e creditos com The Endless Knot; The Hyperspace lista Primordial Level a 180 BPM.","https://radice.bandcamp.com/","","Primordial Level;Radipiri;Saudade"
"dark_experimental","Umbra Lumen","Brazil","","Umbra Lumen e projeto brasileiro de psytrance experimental de Khaline e Maramba, com singles Vysehrad e Sahasrara em 2026.","dark experimental psytrance / psycore","Usar Umbra Lumen para dark experimental/psycore; manter separado de DJ/ritual session.","cosmic_crew_2026_research","https://www.instagram.com/umbra__lumen/","published","high","producer_with_verified_tracks","","Perfil do projeto e plataformas confirmam Vysehrad e Sahasrara; set de Hitech Revolution 2026 lista as faixas do projeto.","https://www.youtube.com/watch?v=lx4M6xI-bcA","","Vysehrad;Sahasrara"
