style,artist,song,label,bpm_exact,bpm_text,release_date,duration_sec,country,source_album,source_url,track_url,bandcamp_track_id,source,status
psycore,Astral Labyrinth Vs Zamurah,Undercore,Voodoo Hoodoo Records,200,200 BPM,2021-12-18,500,,VOODOO-CORE (vol 2),https://voodoo-hoodoo.bandcamp.com/album/voodoo-core-vol-2,https://voodoo-hoodoo.bandcamp.com/track/undercore-200-2,1532207338,voodoo_hoodoo_bandcamp_voodoo_core_vol2_2021,published
psycore,Affectum Infernum,Flowing Thru,Voodoo Hoodoo Records,211,211 BPM,2021-12-18,509,,VOODOO-CORE (vol 2),https://voodoo-hoodoo.bandcamp.com/album/voodoo-core-vol-2,https://voodoo-hoodoo.bandcamp.com/track/flowing-thru-211,2949734058,voodoo_hoodoo_bandcamp_voodoo_core_vol2_2021,published
psycore,Narcolepsy,Mystery,Voodoo Hoodoo Records,210,210 BPM,2021-12-18,592,,VOODOO-CORE (vol 2),https://voodoo-hoodoo.bandcamp.com/album/voodoo-core-vol-2,https://voodoo-hoodoo.bandcamp.com/track/mystery-210-2,2667146970,voodoo_hoodoo_bandcamp_voodoo_core_vol2_2021,published
psycore,Silverdaze,Tzoumerka Horizons,Voodoo Hoodoo Records,215,215 BPM,2021-12-18,535,,VOODOO-CORE (vol 2),https://voodoo-hoodoo.bandcamp.com/album/voodoo-core-vol-2,https://voodoo-hoodoo.bandcamp.com/track/tzoumerka-horizons-215,3777830821,voodoo_hoodoo_bandcamp_voodoo_core_vol2_2021,published
psycore,Glitchy Jungle,The Language of Trees,Voodoo Hoodoo Records,220,220 BPM,2021-12-18,471,,VOODOO-CORE (vol 2),https://voodoo-hoodoo.bandcamp.com/album/voodoo-core-vol-2,https://voodoo-hoodoo.bandcamp.com/track/the-language-of-trees-220,1512483230,voodoo_hoodoo_bandcamp_voodoo_core_vol2_2021,published
psycore,Espiritus,Suenos Profeticos,Voodoo Hoodoo Records,222,222 BPM,2021-12-18,562,,VOODOO-CORE (vol 2),https://voodoo-hoodoo.bandcamp.com/album/voodoo-core-vol-2,https://voodoo-hoodoo.bandcamp.com/track/suen-os-profe-ticos-222,2716800402,voodoo_hoodoo_bandcamp_voodoo_core_vol2_2021,published
psycore,Blind-Ox,Harmony Of Dissonance,Voodoo Hoodoo Records,240,240 BPM,2021-12-18,424,,VOODOO-CORE (vol 2),https://voodoo-hoodoo.bandcamp.com/album/voodoo-core-vol-2,https://voodoo-hoodoo.bandcamp.com/track/harmony-of-dissonance-240-2,4204723413,voodoo_hoodoo_bandcamp_voodoo_core_vol2_2021,published
psycore,Kozmofreak,Legion Of Ragnar,Voodoo Hoodoo Records,250,250 BPM,2021-12-18,396,,VOODOO-CORE (vol 2),https://voodoo-hoodoo.bandcamp.com/album/voodoo-core-vol-2,https://voodoo-hoodoo.bandcamp.com/track/legion-of-ragnar-250,2428358205,voodoo_hoodoo_bandcamp_voodoo_core_vol2_2021,published
psycore,Vuga,Noli Numeris,Voodoo Hoodoo Records,273,273 BPM,2021-12-18,380,,VOODOO-CORE (vol 2),https://voodoo-hoodoo.bandcamp.com/album/voodoo-core-vol-2,https://voodoo-hoodoo.bandcamp.com/track/noli-numeris-273,932853074,voodoo_hoodoo_bandcamp_voodoo_core_vol2_2021,published
psycore,Nala,Nolloodoo,Voodoo Hoodoo Records,290,280-300 BPM,2021-12-18,304,,VOODOO-CORE (vol 2),https://voodoo-hoodoo.bandcamp.com/album/voodoo-core-vol-2,https://voodoo-hoodoo.bandcamp.com/track/nolloodoo-280-300,400041976,voodoo_hoodoo_bandcamp_voodoo_core_vol2_2021,published
psycore,ZER vs Sadhu,Desertechs,Voodoo Hoodoo Records,193,193 BPM,2022-12-10,480,,VITAL PROGNOSIS,https://voodoo-hoodoo.bandcamp.com/album/vital-prognosis,https://voodoo-hoodoo.bandcamp.com/track/desertechs-193,2486717148,voodoo_hoodoo_bandcamp_vital_prognosis_2022,published
psycore,Nibiru,Complex Reaction,Voodoo Hoodoo Records,194,194 BPM,2022-12-10,345,,VITAL PROGNOSIS,https://voodoo-hoodoo.bandcamp.com/album/vital-prognosis,https://voodoo-hoodoo.bandcamp.com/track/complex-reaction-194,2370214117,voodoo_hoodoo_bandcamp_vital_prognosis_2022,published
psycore,Alpscore & INFRA,Contra Naturam,Voodoo Hoodoo Records,210,210 BPM,2022-12-10,342,,VITAL PROGNOSIS,https://voodoo-hoodoo.bandcamp.com/album/vital-prognosis,https://voodoo-hoodoo.bandcamp.com/track/contra-naturam-210,961878808,voodoo_hoodoo_bandcamp_vital_prognosis_2022,published
psycore,Spakum Hupakum,Cassino Narancsbor,Voodoo Hoodoo Records,200,200 BPM,2022-12-10,489,,VITAL PROGNOSIS,https://voodoo-hoodoo.bandcamp.com/album/vital-prognosis,https://voodoo-hoodoo.bandcamp.com/track/cassino-narancsbor-200,135823321,voodoo_hoodoo_bandcamp_vital_prognosis_2022,published
psycore,Psykotrip,Parlatrochka Karkovana,Voodoo Hoodoo Records,180,180 BPM,2022-12-10,480,,VITAL PROGNOSIS,https://voodoo-hoodoo.bandcamp.com/album/vital-prognosis,https://voodoo-hoodoo.bandcamp.com/track/parlatrochka-karkovana-180,615149031,voodoo_hoodoo_bandcamp_vital_prognosis_2022,published
psycore,Perpetuum,What The Fuck is This,Voodoo Hoodoo Records,178,178 BPM,2022-12-10,377,,VITAL PROGNOSIS,https://voodoo-hoodoo.bandcamp.com/album/vital-prognosis,https://voodoo-hoodoo.bandcamp.com/track/what-the-fuck-is-this-178,2493770285,voodoo_hoodoo_bandcamp_vital_prognosis_2022,published
psycore,Varazsomborius,Uprising,Voodoo Hoodoo Records,188,188 BPM,2022-12-10,727,,VITAL PROGNOSIS,https://voodoo-hoodoo.bandcamp.com/album/vital-prognosis,https://voodoo-hoodoo.bandcamp.com/track/uprising-188,3474863624,voodoo_hoodoo_bandcamp_vital_prognosis_2022,published
psycore,Kinetik Flux,Last Sleep,Voodoo Hoodoo Records,190,190 BPM,2022-12-10,511,,VITAL PROGNOSIS,https://voodoo-hoodoo.bandcamp.com/album/vital-prognosis,https://voodoo-hoodoo.bandcamp.com/track/last-sleep-190,713337330,voodoo_hoodoo_bandcamp_vital_prognosis_2022,published
psycore,Synthetic Forest,Feinmechanische Selektion,Voodoo Hoodoo Records,182,182 BPM,2022-12-10,365,,VITAL PROGNOSIS,https://voodoo-hoodoo.bandcamp.com/album/vital-prognosis,https://voodoo-hoodoo.bandcamp.com/track/feinmechanische-selektion-182,1706896725,voodoo_hoodoo_bandcamp_vital_prognosis_2022,published
psycore,Sectio Aurea,Gato Murr,Naturaiz Records,200,200 BPM,2023-01-18,609,,Naturaiz Records Vol.1,https://naturaizrecords.bandcamp.com/album/natura-z-records-vol-1,https://naturaizrecords.bandcamp.com/track/sectio-aurea-gato-murr-200bpm,3390849483,naturaiz_bandcamp_vol1_2023,published
psycore,Arkhos,Stranger World,Naturaiz Records,190,190 BPM,2023-01-18,358,,Naturaiz Records Vol.1,https://naturaizrecords.bandcamp.com/album/natura-z-records-vol-1,https://naturaizrecords.bandcamp.com/track/arkhos-stranger-world-190bpm,1005210882,naturaiz_bandcamp_vol1_2023,published
psycore,Alpscore & Crone,Vitamin AlpsCrone,Naturaiz Records,200,200 BPM,2023-01-18,532,,Naturaiz Records Vol.1,https://naturaizrecords.bandcamp.com/album/natura-z-records-vol-1,https://naturaizrecords.bandcamp.com/track/alpscore-crone-vitamin-alpscrone-200bpm,2359630510,naturaiz_bandcamp_vol1_2023,published
psycore,Oblium,Be Happy,Naturaiz Records,200,200 BPM,2023-01-18,708,,Naturaiz Records Vol.1,https://naturaizrecords.bandcamp.com/album/natura-z-records-vol-1,https://naturaizrecords.bandcamp.com/track/oblium-be-happy-200bpm,3186965052,naturaiz_bandcamp_vol1_2023,published
psycore,Anikulapo,Alem do Que Seus Olhos Podem Ver,Naturaiz Records,202,202 BPM,2023-01-18,503,,Naturaiz Records Vol.1,https://naturaizrecords.bandcamp.com/album/natura-z-records-vol-1,https://naturaizrecords.bandcamp.com/track/anikulapo-al-m-do-que-seus-olhos-podem-ver-202bpm,2798466625,naturaiz_bandcamp_vol1_2023,published
psycore,Rasztec,Constante,Naturaiz Records,235,235 BPM,2023-01-18,377,,Naturaiz Records Vol.1,https://naturaizrecords.bandcamp.com/album/natura-z-records-vol-1,https://naturaizrecords.bandcamp.com/track/rasztec-constante-235bpm,3334721433,naturaiz_bandcamp_vol1_2023,published
psycore,Der Sandmann,Encefalopodo Al Ajillo,Naturaiz Records,239,239 BPM,2023-01-18,579,,Naturaiz Records Vol.1,https://naturaizrecords.bandcamp.com/album/natura-z-records-vol-1,https://naturaizrecords.bandcamp.com/track/der-sandmann-encefal-podo-al-ajillo-239bpm,212091223,naturaiz_bandcamp_vol1_2023,published
psycore,Neormm,A Floresta Tem Escalas,Naturaiz Records,250,250 BPM,2023-01-18,430,,Naturaiz Records Vol.1,https://naturaizrecords.bandcamp.com/album/natura-z-records-vol-1,https://naturaizrecords.bandcamp.com/track/neormm-a-floresta-tem-escalas-250bpm,4165748246,naturaiz_bandcamp_vol1_2023,published
psycore,Vutt'un,Confundentur,Naturaiz Records,180,180 BPM,2024-09-06,973,,Vutt'un - Voluptas In Anima,https://naturaizrecords.bandcamp.com/album/vuttun-voluptas-in-anima,https://naturaizrecords.bandcamp.com/track/vuttun-confundentur-180,4238619365,naturaiz_bandcamp_vuttun_voluptas_2024,published
psycore,Vutt'un,Fabula,Naturaiz Records,198,198 BPM,2024-09-06,800,,Vutt'un - Voluptas In Anima,https://naturaizrecords.bandcamp.com/album/vuttun-voluptas-in-anima,https://naturaizrecords.bandcamp.com/track/vuttun-f-bula-198,1973699986,naturaiz_bandcamp_vuttun_voluptas_2024,published
psycore,Vutt'un,In Anima,Naturaiz Records,210,210 BPM,2024-09-06,832,,Vutt'un - Voluptas In Anima,https://naturaizrecords.bandcamp.com/album/vuttun-voluptas-in-anima,https://naturaizrecords.bandcamp.com/track/vuttun-in-anima-210,887950680,naturaiz_bandcamp_vuttun_voluptas_2024,published
