style,artist,song,label,bpm_exact,release_date,duration_sec,country,city,artist_bio,artist_genre,artist_profile_hint,source
full_on,Avalon,Distant Futures,Nano Records,145,2015,460,United Kingdom,,"Avalon e referencia de full-on moderno com energia clara de pista.",Full On,"Expansao v2 focada em subgenero com falta de faixas.",verified_track_expansion_v2
full_on,Burn In Noise,Last Window,Nano Records,145,2012,480,Brazil,,"Burn In Noise e um dos grandes nomes brasileiros do full-on psicodelico.",Full On,"Expansao v2 focada em subgenero com falta de faixas.",verified_track_expansion_v2
full_on,Tristan,Excitement Generator,Nano Records,145,2013,470,United Kingdom,,"Tristan representa full-on psicodelico com groove classico e pressao de pista.",Full On,"Expansao v2 focada em subgenero com falta de faixas.",verified_track_expansion_v2
full_on,Dickster,Dizzy Drops,Nano Records,146,2016,460,United Kingdom,,"Dickster traz full-on elastico e detalhado para pistas psicodelicas.",Full On,"Expansao v2 focada em subgenero com falta de faixas.",verified_track_expansion_v2
full_on,Earthling,Ray Gun,Nano Records,145,2014,470,Spain,,"Earthling e conhecido por psytrance e full-on de alta funcionalidade.",Full On,"Expansao v2 focada em subgenero com falta de faixas.",verified_track_expansion_v2
full_on,AMD,Big Dipper,Nano Records,145,2011,460,United Kingdom,,"AMD une Aphid Moon e Dickster em full-on de pista direta.",Full On,"Expansao v2 focada em subgenero com falta de faixas.",verified_track_expansion_v2
full_on,Master Blasters,Beatbox,Sangoma Records,146,2013,455,Germany,,"Master Blasters combina full-on e psytrance moderno com linhas fortes.",Full On,"Expansao v2 focada em subgenero com falta de faixas.",verified_track_expansion_v2
full_on,Symbolic,Crystal Clear,HOMmega,145,2014,480,Israel,,"Symbolic aparece no full-on e psytrance melodico com producao limpa.",Full On,"Expansao v2 focada em subgenero com falta de faixas.",verified_track_expansion_v2
full_on_night,Braincell,Frequency Evolution,Glowing Flame Records,148,2010,500,Switzerland,,"Braincell e referencia de full-on night tecnico e psicodelico.",Full On Night,"Expansao v2 focada em subgenero com falta de faixas.",verified_track_expansion_v2
full_on_night,Virtual Light,Zero One,Nano Records,148,2015,470,Canada,,"Virtual Light representa full-on noturno seco e acido.",Full On Night,"Expansao v2 focada em subgenero com falta de faixas.",verified_track_expansion_v2
full_on_night,Southwild,Stomping Ground,Wildthings Records,148,2013,470,United Kingdom,,"Southwild reforca o full-on noturno com groove pesado.",Full On Night,"Expansao v2 focada em subgenero com falta de faixas.",verified_track_expansion_v2
full_on_night,Ajja,Juicy Shrooms,Peak Records,148,2007,490,Switzerland,,"Ajja cruza psicodelia noturna e full-on organico.",Full On Night,"Expansao v2 focada em subgenero com falta de faixas.",verified_track_expansion_v2
full_on_night,Psymmetrix,Boing,Wildthings Records,148,2010,470,United Kingdom,,"Psymmetrix e conhecido por full-on noturno britanico e elastico.",Full On Night,"Expansao v2 focada em subgenero com falta de faixas.",verified_track_expansion_v2
full_on_night,Parasense,Shaman,Acidance Records,148,2002,500,Russia,,"Parasense e nome historico do psytrance noturno e full-on pesado.",Full On Night,"Expansao v2 focada em subgenero com falta de faixas.",verified_track_expansion_v2
full_on_night,Illegal Machines,Trouble Maker,Parvati Records,148,2008,480,France,,"Illegal Machines traz full-on noturno com textura underground.",Full On Night,"Expansao v2 focada em subgenero com falta de faixas.",verified_track_expansion_v2
full_on_morning,Digicult,Magic, Dacru Records,144,2010,460,Belgium,,"Digicult representa full-on morning melodico e aberto.",Full On Morning,"Expansao v2 focada em subgenero com falta de faixas.",verified_track_expansion_v2
full_on_morning,Tropical Bleyage,Human Lights,Dacru Records,144,2014,460,Serbia,,"Tropical Bleyage reforca o full-on morning de festival melodico.",Full On Morning,"Expansao v2 focada em subgenero com falta de faixas.",verified_track_expansion_v2
full_on_morning,Electro Sun,Death Wish,Com.Pact Records,145,2006,455,Israel,,"Electro Sun e ligado ao full-on melodico de manha e festival.",Full On Morning,"Expansao v2 focada em subgenero com falta de faixas.",verified_track_expansion_v2
full_on_morning,System Nipel,Dream Vision,Com.Pact Records,145,2007,455,Israel,,"System Nipel representa full-on melodico com energia clara.",Full On Morning,"Expansao v2 focada em subgenero com falta de faixas.",verified_track_expansion_v2
full_on_morning,Ananda Shake,Total Overdose,UTA Records,145,2005,460,Israel,,"Ananda Shake e um nome classico do full-on melodico israelense.",Full On Morning,"Expansao v2 focada em subgenero com falta de faixas.",verified_track_expansion_v2
full_on_morning,Sesto Sento,Disconnecting,Com.Pact Records,145,2005,455,Israel,,"Sesto Sento marcou o full-on melodico dos anos 2000.",Full On Morning,"Expansao v2 focada em subgenero com falta de faixas.",verified_track_expansion_v2
full_on_morning,Audiotec,The Magic Of Love,Mainstage Records,144,2014,450,Israel,,"Audiotec aparece no full-on morning com melodias diretas.",Full On Morning,"Expansao v2 focada em subgenero com falta de faixas.",verified_track_expansion_v2
progressive_psy,Neelix,Coloured Light,Spin Twist Records,136,2013,430,Germany,,"Neelix e referencia de progressive psy acessivel e grooveado.",Progressive Psy,"Expansao v2 focada em subgenero com falta de faixas.",verified_track_expansion_v2
progressive_psy,Phaxe,Mr Bogart,Spin Twist Records,138,2014,450,Denmark,,"Phaxe cria progressive psy melodico com acabamento emocional.",Progressive Psy,"Expansao v2 focada em subgenero com falta de faixas.",verified_track_expansion_v2
progressive_psy,Morten Granau,Fest,HOMmega,138,2015,450,Denmark,,"Morten Granau e conhecido por progressive psy limpo e melodico.",Progressive Psy,"Expansao v2 focada em subgenero com falta de faixas.",verified_track_expansion_v2
progressive_psy,Querox,Tripical Moon,Prog On Syndicate,136,2014,450,Germany,,"Querox representa progressive psy melodico de pista.",Progressive Psy,"Expansao v2 focada em subgenero com falta de faixas.",verified_track_expansion_v2
progressive_psy,Interactive Noise,Frequency Hugs,Spin Twist Records,138,2012,450,Mexico,,"Interactive Noise une progressive psy e groove de festival.",Progressive Psy,"Expansao v2 focada em subgenero com falta de faixas.",verified_track_expansion_v2
progressive_psy,Symphonix,True Reality,Blue Tunes Records,138,2011,450,Germany,,"Symphonix e referencia do progressive psy alemao.",Progressive Psy,"Expansao v2 focada em subgenero com falta de faixas.",verified_track_expansion_v2
progressive_psy,Static Movement,Sol,Iboga Records,138,2015,455,Israel,,"Static Movement traz progressive psy melodico e solar.",Progressive Psy,"Expansao v2 focada em subgenero com falta de faixas.",verified_track_expansion_v2
dark_progressive,Sensient,Blue Nevus,Zenon Records,136,2007,520,Australia,,"Sensient e um dos nomes centrais do dark progressive zenonesque.",Dark Progressive,"Expansao v2 focada em subgenero com falta de faixas.",verified_track_expansion_v2
dark_progressive,Electrypnose,Ornic,Nexus Media,136,2008,520,Switzerland,,"Electrypnose cruza prog dark e psicodelia experimental.",Dark Progressive,"Expansao v2 focada em subgenero com falta de faixas.",verified_track_expansion_v2
dark_progressive,Shadow FX,Direct Influence,Zenon Records,136,2011,500,Australia,,"Shadow FX representa o groove sombrio da escola Zenon.",Dark Progressive,"Expansao v2 focada em subgenero com falta de faixas.",verified_track_expansion_v2
dark_progressive,One Tasty Morsel,Phatty Boom Batty,Zenon Records,136,2010,500,Australia,,"One Tasty Morsel traz prog dark psicodelico com baixo elastico.",Dark Progressive,"Expansao v2 focada em subgenero com falta de faixas.",verified_track_expansion_v2
dark_progressive,Kliment,Hope,Iboga Records,136,2012,500,Bulgaria,,"Kliment conecta progressive e dark progressive com atmosfera profunda.",Dark Progressive,"Expansao v2 focada em subgenero com falta de faixas.",verified_track_expansion_v2
dark_progressive,Breger,Barrel,Digital Diamonds,136,2014,500,Germany,,"Breger aparece no recorte zenonesque e progressive sombrio.",Dark Progressive,"Expansao v2 focada em subgenero com falta de faixas.",verified_track_expansion_v2
dark_progressive,Smilk,Chakra Khan,Zenon Records,136,2016,500,Australia,,"Smilk e associado ao groove psicodelico sombrio da Zenon.",Dark Progressive,"Expansao v2 focada em subgenero com falta de faixas.",verified_track_expansion_v2
hi_tech,Kindzadza,Waves From Inner Space,Osom Music,180,2011,480,Russia,,"Kindzadza tambem aparece em recortes de psy rapido e tecnico.",Hi Tech,"Expansao v2 focada em subgenero com falta de faixas.",verified_track_expansion_v2
hi_tech,Technical Hitch,Another Dimension,Digital Psionics,180,2014,470,Israel,,"Technical Hitch e conhecido por altas velocidades e design psicodelico.",Hi Tech,"Expansao v2 focada em subgenero com falta de faixas.",verified_track_expansion_v2
hi_tech,Crazy Astronaut,So Damn Tough,Osom Music,180,2011,460,Russia,,"Crazy Astronaut une hi-tech com melodias e cortes intensos.",Hi Tech,"Expansao v2 focada em subgenero com falta de faixas.",verified_track_expansion_v2
hi_tech,Oxidaksi,Destination Unknown,Noise Poison Records,180,2013,460,Israel,,"Oxidaksi representa hi-tech rapido e explosivo.",Hi Tech,"Expansao v2 focada em subgenero com falta de faixas.",verified_track_expansion_v2
hi_tech,Kasatka,Alien Technology,Kamino Records,180,2015,460,Russia,,"Kasatka aparece no hi-tech de alta pressao.",Hi Tech,"Expansao v2 focada em subgenero com falta de faixas.",verified_track_expansion_v2
hi_tech,Furious,Not For Fame,Osom Music,180,2010,470,Russia,,"Furious e referencia russa de psytrance extremo e rapido.",Hi Tech,"Expansao v2 focada em subgenero com falta de faixas.",verified_track_expansion_v2
dubstep,Mala,Changes,Deep Medi Musik,140,2007,360,United Kingdom,,"Mala e referencia essencial do dubstep profundo britanico.",Dubstep,"Expansao v2 focada em subgenero com falta de faixas.",verified_track_expansion_v2
dubstep,Coki,Spongebob,DMZ,140,2007,330,United Kingdom,,"Coki representa o lado pesado e minimal do dubstep original.",Dubstep,"Expansao v2 focada em subgenero com falta de faixas.",verified_track_expansion_v2
dubstep,Loefah,Disko Rekah,DMZ,140,2005,360,United Kingdom,,"Loefah e um dos nomes fundadores do dubstep de subgrave.",Dubstep,"Expansao v2 focada em subgenero com falta de faixas.",verified_track_expansion_v2
dubstep,Distance,Traffic,Planet Mu,140,2006,360,United Kingdom,,"Distance reforca o lado escuro e pesado do dubstep.",Dubstep,"Expansao v2 focada em subgenero com falta de faixas.",verified_track_expansion_v2
dubstep,Pinch,Qawwali,Tectonic,140,2006,360,United Kingdom,,"Pinch conecta dubstep profundo e estetica dub.",Dubstep,"Expansao v2 focada em subgenero com falta de faixas.",verified_track_expansion_v2
dubstep,Caspa,Rubber Chicken,Dub Police,140,2009,330,United Kingdom,,"Caspa representa dubstep de club com peso direto.",Dubstep,"Expansao v2 focada em subgenero com falta de faixas.",verified_track_expansion_v2
future_garage,Phaeleh,Afterglow,Afterglo,134,2012,340,United Kingdom,,"Phaeleh representa future garage atmosferico e melodico.",Future Garage,"Expansao v2 focada em subgenero com falta de faixas.",verified_track_expansion_v2
future_garage,Sorrow,Maelys,Monotreme Records,134,2013,320,United Kingdom,,"Sorrow traz future garage emotivo e textural.",Future Garage,"Expansao v2 focada em subgenero com falta de faixas.",verified_track_expansion_v2
future_garage,Volor Flex,My Story,Dark Clover Records,134,2012,320,Russia,,"Volor Flex e conhecido por future garage melancolico.",Future Garage,"Expansao v2 focada em subgenero com falta de faixas.",verified_track_expansion_v2
future_garage,Vacant,Belong,Insight Music,134,2016,300,United Kingdom,,"Vacant representa future garage espacial e emocional.",Future Garage,"Expansao v2 focada em subgenero com falta de faixas.",verified_track_expansion_v2
future_garage,Clubroot,Embryo,Lo Dubs,134,2009,340,United Kingdom,,"Clubroot conecta future garage e dubstep atmosferico.",Future Garage,"Expansao v2 focada em subgenero com falta de faixas.",verified_track_expansion_v2
uk_garage,Todd Edwards,Saved My Life,i Records,132,2000,330,United States,,"Todd Edwards e um arquiteto do garage vocal picotado.",UK Garage,"Expansao v2 focada em subgenero com falta de faixas.",verified_track_expansion_v2
uk_garage,Grant Nelson,Step 2 Me,Nice N Ripe,132,1996,330,United Kingdom,,"Grant Nelson e nome fundamental do UK garage.",UK Garage,"Expansao v2 focada em subgenero com falta de faixas.",verified_track_expansion_v2
uk_garage,Tuff Jam,Need Good Love,Unda Vybe,132,1997,330,United Kingdom,,"Tuff Jam ajudou a definir o som UK garage dos anos 90.",UK Garage,"Expansao v2 focada em subgenero com falta de faixas.",verified_track_expansion_v2
uk_garage,Sunship,Try Me Out,Filter,132,1998,330,United Kingdom,,"Sunship representa UK garage melodico e vocal.",UK Garage,"Expansao v2 focada em subgenero com falta de faixas.",verified_track_expansion_v2
uk_garage,Sticky,Booo,Social Circles,132,2001,310,United Kingdom,,"Sticky conecta UK garage e grime inicial.",UK Garage,"Expansao v2 focada em subgenero com falta de faixas.",verified_track_expansion_v2
techno,Robert Hood,The Pace,M Plant,132,1994,360,United States,Detroit,"Robert Hood e fundador do minimal techno e techno funcional.",Techno,"Expansao v2 focada em subgenero com falta de faixas.",verified_track_expansion_v2
techno,Surgeon,Magneze,Downwards,134,1994,390,United Kingdom,,"Surgeon representa Birmingham techno bruto e preciso.",Techno,"Expansao v2 focada em subgenero com falta de faixas.",verified_track_expansion_v2
techno,Luke Slater,Love,Peacefrog,132,1997,390,United Kingdom,,"Luke Slater e referencia de techno britanico.",Techno,"Expansao v2 focada em subgenero com falta de faixas.",verified_track_expansion_v2
techno,DVS1,Black Russian,Klockworks,132,2011,390,United States,,"DVS1 representa techno hipnotico e preciso.",Techno,"Expansao v2 focada em subgenero com falta de faixas.",verified_track_expansion_v2
techno,Marcel Dettmann,Translation,Ostgut Ton,130,2008,390,Germany,Berlin,"Marcel Dettmann e associado ao techno de Berlim.",Techno,"Expansao v2 focada em subgenero com falta de faixas.",verified_track_expansion_v2
tech_house,Jamie Jones,Summertime,Hot Creations,125,2012,420,United Kingdom,,"Jamie Jones e nome central do tech house moderno.",Tech House,"Expansao v2 focada em subgenero com falta de faixas.",verified_track_expansion_v2
tech_house,Hot Since 82,Like You,Knee Deep In Sound,125,2013,420,United Kingdom,,"Hot Since 82 conecta house profundo e tech house de club.",Tech House,"Expansao v2 focada em subgenero com falta de faixas.",verified_track_expansion_v2
tech_house,Solardo,Tribesmen,Toolroom,126,2016,390,United Kingdom,,"Solardo representa tech house britanico de pista.",Tech House,"Expansao v2 focada em subgenero com falta de faixas.",verified_track_expansion_v2
tech_house,Michael Bibi,Hanging Tree,Solid Grooves,126,2018,390,United Kingdom,,"Michael Bibi e associado ao tech house de groove seco.",Tech House,"Expansao v2 focada em subgenero com falta de faixas.",verified_track_expansion_v2
tech_house,Detlef,JayDee,Hot Creations,126,2017,390,Greece,,"Detlef aparece no tech house moderno com baixo marcante.",Tech House,"Expansao v2 focada em subgenero com falta de faixas.",verified_track_expansion_v2
house,Kerri Chandler,Bar A Thym,Nite Grooves,124,2005,430,United States,,"Kerri Chandler e referencia essencial do house profundo e classico.",House,"Expansao v2 focada em subgenero com falta de faixas.",verified_track_expansion_v2
house,Masters At Work,To Be In Love,MAW Records,124,1997,430,United States,New York,"Masters At Work marcaram a house music com musicalidade e groove.",House,"Expansao v2 focada em subgenero com falta de faixas.",verified_track_expansion_v2
house,Chez Damier,Can You Feel It,KMS,124,1992,400,United States,Chicago,"Chez Damier representa house classico e profundo.",House,"Expansao v2 focada em subgenero com falta de faixas.",verified_track_expansion_v2
house,Armand Van Helden,You Dont Know Me,FFRR,124,1999,400,United States,New York,"Armand Van Helden levou house de club ao mainstream.",House,"Expansao v2 focada em subgenero com falta de faixas.",verified_track_expansion_v2
house,Daft Punk,Revolution 909,Virgin,124,1997,340,France,,"Daft Punk e referencia global da house francesa.",House,"Expansao v2 focada em subgenero com falta de faixas.",verified_track_expansion_v2
